county,sex,age,education,marital_status,household_size,roof_type,floor_type,wall_type,cooking_fuel,water_source,toilet_type,owns_computer,owns_motorcycle,owns_car,income_farming,income_employed,income_casual,income_selfemployed,reported_income,expenditure,quintile,livelihood,compliant_premium
18,1,58,5,4,2,5.0,7.0,12.0,3.0,13.0,2.0,0,0,1,1,0,0,1,50000.0,42700.0,5.0,1,1174.25
22,1,31,7,4,4,5.0,8.0,12.0,3.0,11.0,7.0,0,0,0,0,1,0,0,20000.0,15166.666666666666,4.0,2,417.0833333333333
3,1,33,2,4,8,3.0,1.0,4.0,5.0,8.0,5.0,0,1,0,0,0,1,0,,633.3333333333333,1.0,3,17.416666666666664
43,2,18,5,1,3,5.0,8.0,11.0,3.0,14.0,4.0,0,0,0,0,0,0,0,,8566.666666666668,4.0,5,235.58333333333337
17,1,40,4,4,9,5.0,1.0,13.0,5.0,4.0,5.0,0,0,0,0,0,1,0,9000.0,14200.0,2.0,3,390.5
3,2,18,4,1,6,5.0,8.0,12.0,7.0,11.0,5.0,0,0,0,0,0,0,0,,5833.333333333334,4.0,5,160.41666666666669
9,1,23,1,4,4,2.0,1.0,3.0,5.0,9.0,8.0,0,0,0,0,0,0,0,4000.0,3900.0,1.0,5,107.25
19,1,41,3,1,1,5.0,1.0,16.0,3.0,11.0,5.0,0,0,0,1,0,1,0,30000.0,6800.0,3.0,1,187.0
43,1,25,6,1,7,5.0,8.0,11.0,5.0,4.0,6.0,0,1,0,0,0,0,0,13000.0,10000.0,3.0,5,275.0
22,1,78,2,3,2,5.0,8.0,10.0,5.0,11.0,6.0,0,0,0,1,0,0,0,5000.0,8550.0,2.0,5,235.125
4,1,37,1,4,7,5.0,1.0,5.0,5.0,14.0,8.0,0,0,0,0,0,1,0,3000.0,10300.0,1.0,3,283.25
16,1,65,1,4,1,5.0,8.0,11.0,2.0,9.0,6.0,0,0,0,0,0,1,0,5000.0,8320.0,3.0,3,228.8
18,1,42,3,4,2,5.0,1.0,4.0,7.0,11.0,6.0,0,0,0,0,0,1,0,3000.0,740.0,2.0,3,20.35
24,1,18,4,1,7,5.0,2.0,4.0,5.0,11.0,5.0,0,0,0,0,0,0,1,500.0,7133.333333333334,2.0,4,196.16666666666669
28,1,70,2,4,5,5.0,8.0,4.0,5.0,15.0,5.0,0,0,0,1,0,0,0,9000.0,12333.333333333332,2.0,1,339.16666666666663
33,1,35,3,4,5,5.0,1.0,4.0,5.0,4.0,5.0,0,0,0,1,0,0,0,20000.0,8106.666666666666,2.0,1,222.9333333333333
38,1,40,2,2,1,5.0,1.0,4.0,5.0,4.0,5.0,0,0,0,1,0,1,0,3000.0,200.0,1.0,3,5.5
17,1,28,2,4,5,5.0,8.0,11.0,5.0,14.0,5.0,0,1,0,1,0,0,0,200.0,3015.0,3.0,5,82.9125
6,2,27,6,4,3,5.0,8.0,11.0,3.0,11.0,4.0,0,1,0,0,0,0,0,,16500.0,5.0,5,453.75
21,2,59,3,3,1,5.0,7.0,10.0,5.0,11.0,2.0,0,0,0,1,0,1,0,5000.0,5500.0,3.0,1,151.25
14,2,56,7,1,2,5.0,7.0,12.0,5.0,11.0,2.0,0,0,0,1,1,0,0,25000.0,8700.0,4.0,2,239.25
11,1,74,2,4,5,5.0,1.0,4.0,5.0,9.0,5.0,0,0,0,1,0,0,0,6000.0,15220.0,1.0,1,418.55
15,1,49,5,4,4,5.0,8.0,11.0,1.0,9.0,4.0,0,0,0,0,0,0,1,7000.0,15383.333333333334,4.0,4,423.0416666666667
43,1,38,3,4,6,5.0,1.0,5.0,5.0,4.0,6.0,0,1,0,1,0,0,1,5000.0,25300.0,1.0,1,695.75
47,1,33,3,2,4,8.0,8.0,12.0,3.0,11.0,1.0,0,0,0,0,0,1,0,6000.0,9153.333333333334,5.0,3,251.7166666666667
14,1,25,8,1,1,5.0,8.0,12.0,3.0,10.0,1.0,0,0,0,1,1,0,1,30000.0,38000.0,5.0,2,1045.0
9,1,58,1,4,9,2.0,1.0,2.0,5.0,9.0,8.0,0,0,0,1,0,0,0,8000.0,11400.0,1.0,1,313.5
12,1,25,2,4,6,5.0,8.0,16.0,5.0,9.0,5.0,0,0,0,0,0,1,0,1000.0,10820.0,2.0,3,297.55
35,1,33,4,4,4,5.0,8.0,10.0,3.0,10.0,1.0,0,0,0,0,0,0,1,10000.0,25100.0,5.0,4,690.25
10,1,28,1,4,6,5.0,8.0,12.0,7.0,14.0,5.0,0,0,0,0,0,0,0,6000.0,10816.666666666668,4.0,5,297.45833333333337
31,1,19,4,1,6,5.0,1.0,16.0,5.0,13.0,5.0,0,1,0,0,0,0,0,3000.0,11450.0,3.0,5,314.875
33,1,23,8,1,2,5.0,8.0,12.0,3.0,11.0,5.0,0,0,0,0,1,0,0,35000.0,17800.0,4.0,2,489.5
37,2,18,4,1,8,5.0,2.0,4.0,5.0,4.0,5.0,0,0,0,0,0,1,0,300.0,8933.333333333334,2.0,3,245.66666666666669
3,1,24,5,4,3,5.0,7.0,12.0,7.0,10.0,4.0,0,0,0,1,0,0,0,5000.0,12600.0,5.0,1,346.5
8,1,36,1,4,8,5.0,8.0,11.0,5.0,14.0,5.0,0,0,0,0,0,0,0,,19833.333333333336,4.0,6,545.4166666666667
43,2,57,3,3,2,5.0,1.0,13.0,3.0,3.0,5.0,0,0,0,0,0,0,0,5000.0,8150.0,2.0,5,224.125
46,1,44,3,2,1,5.0,1.0,4.0,5.0,4.0,5.0,0,0,0,0,0,1,0,500.0,300.0,1.0,3,8.25
43,1,41,4,4,8,5.0,1.0,5.0,5.0,4.0,5.0,0,0,0,1,0,0,1,20000.0,12566.666666666666,1.0,1,345.5833333333333
5,1,48,4,4,6,5.0,1.0,4.0,5.0,10.0,5.0,0,1,0,0,0,0,0,10000.0,12933.333333333334,2.0,5,355.6666666666667
36,1,28,5,4,6,5.0,8.0,12.0,7.0,13.0,4.0,0,1,0,0,0,0,1,1000.0,21133.333333333336,4.0,4,581.1666666666667
44,2,28,2,4,12,5.0,1.0,4.0,5.0,4.0,6.0,0,0,0,0,0,1,0,,5083.333333333334,2.0,3,139.79166666666669
3,1,20,4,1,5,5.0,8.0,11.0,5.0,9.0,5.0,0,0,0,0,0,0,0,,7500.0,3.0,6,206.25
20,1,72,2,4,2,5.0,8.0,16.0,5.0,11.0,5.0,0,0,0,0,0,0,0,2000.0,1100.0,3.0,5,30.25
29,2,32,7,4,3,5.0,8.0,11.0,3.0,7.0,5.0,0,0,0,0,0,1,1,3000.0,10933.333333333332,4.0,4,300.66666666666663
27,2,21,6,1,4,5.0,1.0,4.0,5.0,9.0,5.0,0,0,0,0,0,0,1,5000.0,12200.0,2.0,4,335.5
34,1,33,9,4,5,8.0,8.0,11.0,3.0,10.0,2.0,1,0,1,1,1,0,0,50000.0,16283.333333333332,5.0,2,447.79166666666663
25,1,45,2,4,7,12.0,1.0,2.0,5.0,4.0,8.0,0,0,0,0,0,1,0,5000.0,19200.0,1.0,3,528.0
7,1,55,1,4,10,5.0,1.0,5.0,5.0,2.0,8.0,0,0,0,0,0,0,0,15000.0,15850.0,1.0,6,435.875
15,2,17,4,1,2,5.0,1.0,4.0,5.0,4.0,5.0,0,0,0,0,0,0,0,500.0,7950.0,1.0,5,218.625
30,1,36,5,4,6,5.0,8.0,4.0,5.0,4.0,5.0,0,0,0,1,1,0,1,60000.0,17700.0,2.0,4,486.75
33,1,35,1,4,11,5.0,1.0,10.0,5.0,2.0,4.0,0,0,0,1,0,0,0,100000.0,10383.333333333332,2.0,1,285.54166666666663
1,1,19,3,1,4,5.0,8.0,11.0,2.0,14.0,3.0,0,0,0,0,0,1,1,6000.0,18400.0,3.0,4,506.0
37,1,55,5,4,10,5.0,8.0,13.0,5.0,4.0,5.0,0,0,0,1,0,0,0,1500.0,16000.0,3.0,1,440.0
16,1,50,2,4,7,5.0,8.0,11.0,5.0,4.0,5.0,0,0,0,0,0,1,0,9000.0,8123.333333333334,3.0,3,223.39166666666668
22,1,38,5,4,5,5.0,8.0,16.0,7.0,11.0,5.0,0,0,0,0,0,1,0,6000.0,9183.333333333334,3.0,3,252.54166666666669
23,2,37,1,3,4,5.0,1.0,4.0,5.0,15.0,5.0,0,0,0,0,0,0,1,3000.0,10750.0,1.0,4,295.625
31,2,20,5,1,5,5.0,8.0,16.0,5.0,11.0,5.0,0,0,0,0,0,0,0,,11133.333333333334,3.0,5,306.1666666666667
27,1,22,5,1,5,5.0,1.0,4.0,5.0,9.0,5.0,0,0,0,0,0,0,0,1000.0,6900.0,1.0,5,189.75
4,1,33,2,4,2,5.0,6.0,11.0,5.0,9.0,5.0,0,0,0,0,0,1,0,10000.0,12736.666666666666,3.0,3,350.2583333333333
47,1,19,3,4,3,5.0,8.0,12.0,3.0,11.0,1.0,0,0,0,0,0,0,0,2000.0,19050.0,5.0,5,523.875
